species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
CJCSPKMFHVPWAR-UHFFFAOYSA-N,12,2,CC([NH3+])(CC1=CC([O-])C(=O)C=C1)C(=O)O,True,1,,[-467105.94185656373],[-29492.25394867773],[-78.20023065774352],[109.12721651687512],[-467075.0148707046],-78.200230657743518,,-29492.253948677731,109.12721651687512,-467111.04049545515,66.595783751981799,1.5309135876476015e-49,post_xtb_screened_out,,-467075.01487070462,-78.200230657743518,-467105.94185656373,-29492.253948677731,109.12721651687512,66.595783751981799,-467111.04049545515,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,13,0,CC(N)(CC1=CC=C(O)C(=O)C1)C(=O)O,False,5,"[""conf 2/5"", ""conf 5/5"", ""conf 3/5"", ""conf 4/5"", ""conf 1/5""]","[-467242.34263993136, -467238.2195570307, -467241.1931724819, -467241.074269023, -467241.0756279651]","[-29626.364004733798, -29622.055581575518, -29625.273597231044, -29625.231944132327, -29625.394286291343]","[-21.615191343577543, -24.796036867603398, -21.629624061480992, -21.828544564758996, -21.538635187741846]","[111.39784901916347, 111.31586134526086, 111.64519228435505, 111.94906595537594, 111.69118654193336]","[-467152.5599822558, -467151.69973255304, -467151.177604259, -467150.95374763245, -467150.9230766109]",-24.807892647688096,-467242.5334877912,-29626.6050450613,110.60516023521971,-467152.78447946924,24.851799737894908,6.0743987427658434e-19,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,13,1,CC([NH3+])(CC1=CC=C(O)C(=O)C1)C(=O)[O-],True,6,"[""conf 1/6"", ""conf 6/6"", ""conf 4/6"", ""conf 2/6"", ""conf 3/6"", ""conf 5/6""]","[-467232.0424694293, -467227.32432036055, -467229.4739427091, -467228.37797915837, -467226.38294368034, -467226.6765914525]","[-29610.75435328617, -29608.18776230778, -29607.80281184369, -29608.294975906465, -29606.93392939021, -29606.55011269894]","[-41.7318900630924, -44.22310267512291, -42.3186114213414, -41.90445516845976, -43.93884088337233, -41.86492207159378]","[112.10635032528157, 111.39760404322985, 111.8981585609147, 112.23774903455359, 112.62712735107841, 112.26792614588402]","[-467161.66800916713, -467160.1498189924, -467159.8943955695, -467158.0446852923, -467157.69465721265, -467156.2735873782]",-44.541894527417867,-467232.05169651227,-29610.776545572382,110.89647575290553,-467161.74082605774,15.895453149394598,2.2312637210938807e-12,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,13,2,CC([NH3+])(CC1=CC=C([O-])C(=O)C1)C(=O)O,True,1,,[-467128.99232965085],[-29510.176190185168],[-74.21554549744283],[111.10108890723724],[-467092.10678624106],-74.215545497442832,,-29510.176190185168,111.10108890723724,-467128.13241099159,49.503868215542752,5.1690615849246341e-37,post_xtb_screened_out,,-467092.10678624106,-74.215545497442832,-467128.99232965085,-29510.176190185168,111.10108890723724,49.503868215542752,-467128.13241099159,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,14,0,CC(N)(CC1=CCC(=O)C(=O)C1)C(=O)O,False,5,"[""conf 1/5"", ""conf 5/5"", ""conf 3/5"", ""conf 4/5"", ""conf 2/5""]","[-467238.2666640414, -467234.31140194193, -467235.73234660574, -467233.6104634001, -467233.526760205]","[-29615.04740109939, -29612.095294791074, -29613.795199530123, -29612.059975427226, -29612.680797945726]","[-22.317374445054153, -22.91539097383629, -22.39330309141579, -22.538885289398426, -21.9220434763944]","[111.36215066846152, 110.70618219898792, 111.68642658074054, 111.80162350053737, 112.32662059657333]","[-467149.22188781796, -467146.5206107168, -467146.4392231164, -467144.34772518894, -467143.1221830848]",-23.457200863605841,-467238.27598778176,-29615.131521522209,110.37665274513149,-467149.23356107465,28.402718132478185,1.5158703259679507e-21,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,14,1,CC([NH3+])(CC1=CCC(=O)C(=O)C1)C(=O)[O-],True,10,"[""conf 1/10"", ""conf 4/10"", ""conf 7/10"", ""conf 6/10"", ""conf 8/10"", ""conf 2/10"", ""conf 9/10"", ""conf 3/10"", ""conf 10/10"", ""conf 5/10""]","[-467224.4665120181, -467223.57129188505, -467222.4846647504, -467222.4545241432, -467219.9058482277, -467220.48690805683, -467219.6316332003, -467221.2189105528, -467218.98321829387, -467220.25650708686]","[-29597.021793743934, -29595.918636708255, -29594.571551947727, -29594.84156958566, -29594.322669054152, -29594.39123547385, -29593.791925186822, -29595.09490424354, -29593.22291739442, -29595.586621218998]","[-44.287108641477346, -44.79664633441658, -44.44524102894125, -44.28146105621078, -45.18632971780977, -44.027947228689285, -45.08781073038186, -43.38788756514492, -44.87069245235603, -41.450765818712135]","[112.41475298443558, 112.4004400957413, 112.07337723191024, 112.28331245040212, 111.58351880711126, 112.07418049298279, 112.76552435411234, 112.68902448524895, 112.40558479240534, 112.56015600022546]","[-467156.33886767516, -467155.9674981237, -467154.8565285475, -467154.452672749, -467153.50865913834, -467152.44067479257, -467151.95391957654, -467151.9177736327, -467151.4483259538, -467149.1471169053]",-45.987482833178937,-467224.62036235252,-29597.200584003713,110.85639168319238,-467156.64232780179,20.99395140534034,4.0862576652604355e-16,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,15,0,CC(N)(CC1=CCC(=O)C(O)=C1)C(=O)O,False,1,,[-467192.7484056792],[-29581.88153084813],[-24.534365416919083],[111.51452699811615],[-467105.768244098],-24.534365416919083,,-29581.881530848132,111.51452699811615,-467141.79386884853,35.842410358600318,5.337400680039007e-27,post_xtb_screened_out,,-467105.768244098,-24.534365416919083,-467192.74840567919,-29581.881530848132,111.51452699811615,35.842410358600318,-467141.79386884853,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,15,1,CC([NH3+])(CC1=CCC(=O)C(O)=C1)C(=O)[O-],True,2,"[""conf 3/3"", ""conf 2/3""]","[-467230.0538434246, -467228.2874200232]","[-29608.23687500632, -29608.653757689975]","[-42.93796327224168, -41.649058812516074]","[112.10213323382993, 112.08967714064933]","[-467160.889673463, -467157.84680169506]",-43.001692343751131,-467230.08315854083,-29608.891929068745,111.68519318162699,-467160.89314852533,16.74313068180345,5.3357928538128735e-13,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,15,2,CC([NH3+])(CC1=CCC(=O)C([O-])=C1)C(=O)O,True,1,,[-467138.1668765524],[-29519.34151805951],[-65.12293321826851],[110.80044093549007],[-467092.4893688352],-65.122933218268514,,-29519.341518059511,110.80044093549007,-467128.5149935857,49.121285621426068,9.859313902947549e-37,post_xtb_screened_out,,-467092.48936883517,-65.122933218268514,-467138.16687655239,-29519.341518059511,110.80044093549007,49.121285621426068,-467128.5149935857,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,16,0,CC(N)(CC1C=CC(=O)C(=O)C1)C(=O)O,False,1,,[-467192.02687985415],[-29569.708990949624],[-26.965337119439535],[112.66682340964478],[-467106.3253935639],-26.965337119439535,,-29569.708990949624,112.66682340964478,-467142.35101831442,35.285260892705992,1.3668573710995078e-26,post_xtb_screened_out,,-467106.32539356389,-26.965337119439535,-467192.02687985415,-29569.708990949624,112.66682340964478,35.285260892705992,-467142.35101831442,true,dmso,1,0
