unique_ID,SMILES,original_IUPAC_names,seed_formal_charge,pka_type,required_charge,found,protomer_count,reason,expansion_stage
perrin1076,O=C(O)c1cccnc1,"pyridine, 3-carboxy-",0,pKaH1,1,True,1,,0
perrin1077,O=C(O)c1ccncc1,"pyridine, 4-carboxy-",0,pKa1,-1,True,1,,0
perrin1077,O=C(O)c1ccncc1,"pyridine, 4-carboxy-",0,pKaH1,1,True,1,,0
perrin1078,Cn1cc(C(=O)O)ccc1=O,"pyridine, 3-carboxy-1,6-dihydro-1-methyl-6-oxo-",0,pKa1,-1,True,2,,0
perrin1078,Cn1cc(C(=O)O)ccc1=O,"pyridine, 3-carboxy-1,6-dihydro-1-methyl-6-oxo-",0,pKaH1,1,True,1,,0
perrin1079,Cc1cccc(C(=O)O)n1,"pyridine, 2-carboxy-6-methyl-",0,pKa1,-1,True,3,,0
perrin1079,Cc1cccc(C(=O)O)n1,"pyridine, 2-carboxy-6-methyl-",0,pKaH1,1,True,2,,0
perrin108,CCN(CC)CCOCCN(C)C,"Ethane, 1-diethylamino-2-dimethylaminoethoxy-",0,pKaH1,1,True,2,,0
perrin108,CCN(CC)CCOCCN(C)C,"Ethane, 1-diethylamino-2-dimethylaminoethoxy-",0,pKaH2,2,True,1,,0
perrin1080,Clc1ccccn1,"pyridine, 2-chloro-",0,pKaH1,1,True,1,,0
perrin1081,Clc1cccnc1,"pyridine, 3-chloro-",0,pKaH1,1,True,1,,0
perrin1082,Clc1ccncc1,"pyridine, 4-chloro-",0,pKaH1,1,True,1,,0
perrin1083,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,"pyridine, 2-[p-chloro-α-(2-dimethylaminoethyl)benzyl]-",0,pKaH1,1,True,4,,0
perrin1084,O=[N+]([O-])c1cccnc1Cl,"pyridine, 2-chloro-3-nitro-",0,pKaH1,1,True,1,,0
perrin1085,Clc1ccc(C#Cc2ccncc2)cc1,"pyridine, 4-p-chlorophenylethynyl-",0,pKaH1,1,True,1,,0
perrin1087,Clc1ccc(/C=C/c2ccncc2)cc1,"pyridine, trans-4-p-chlorostyryl-",0,pKaH1,1,True,1,,0
perrin1088,CN(C)CCN(c1ccccn1)c1ccc(Cl)s1,"pyridine, 2-[(5-chloro-2-thienyl)(2-dimethylaminoethyl)amino]-",0,pKaH1,1,True,3,,0
perrin1089,N#Cc1ccccn1,"pyridine, 2-cyano-",0,pKaH1,1,True,2,,0
perrin109,CCN(CC)CCC(=O)C(c1ccccc1)c1ccccc1,"ethane, 1-diethylamino-2-diphenylmethylcarbonyl-",0,pKaH1,1,True,3,,0
perrin1090,N#Cc1cccnc1,"pyridine, 3-cyano-",0,pKaH1,1,True,2,,0
perrin1091,N#Cc1ccncc1,"pyridine, 4-cyano-",0,pKaH1,1,True,2,,0
perrin1092,Nc1ccc(N)nc1,"pyridine, 2,5-diamino-",0,pKaH1,1,True,7,,0
perrin1092,Nc1ccc(N)nc1,"pyridine, 2,5-diamino-",0,pKaH2,2,True,8,,0
perrin1093,Nc1ccncc1N,"pyridine, 4,5-diamino-",0,pKaH1,1,True,6,,0
perrin1094,N#Cc1cccc(C#N)n1,"pyridine, 2,6-dicyano-",0,pKaH1,1,True,2,,0
perrin1095,On1ccccc1=S,"pyridine, 1,2-dihydro-1-hydroxy-2-thio-",0,pKa1,-1,True,1,,0
perrin1095,On1ccccc1=S,"pyridine, 1,2-dihydro-1-hydroxy-2-thio-",0,pKaH1,1,True,1,,0
perrin1096,On1ccc(=S)cc1,"pyridine, 1,4-dihydro-1-hydroxy-4-thio-",0,pKa1,-1,True,1,,0
perrin1096,On1ccc(=S)cc1,"pyridine, 1,4-dihydro-1-hydroxy-4-thio-",0,pKaH1,1,True,1,,0
perrin1097,COn1ccccc1=N,"pyridine, 1,2-dihydro-2-imino-1-methoxy-",0,pKaH1,1,True,2,,0
perrin1098,COn1ccc(=N)cc1,"pyridine, 1,4-dihydro-4-imino-1-methoxy-",0,pKaH1,1,True,2,,0
perrin1099,Cn1ccccc1=N,"pyridine, 1,2-dihydro-2-imino-1-methyl-",0,pKaH1,1,True,2,,0
perrin11,CC(N)=O,"methane, carbamoyl-",0,pKa1,-1,True,6,,unlimited
perrin11,CC(N)=O,"methane, carbamoyl-",0,pKaH1,1,True,3,,unlimited
perrin11,CC(N)=O,"methane, carbamoyl-",0,pKaH2,2,False,0,charge_state_unreachable,unlimited
perrin110,CCN(C)CCOCCN(CC)CC,"ethane, 1-diethylamino-2-ethylmethylaminoethoxy-",0,pKaH1,1,True,2,,0
perrin110,CCN(C)CCOCCN(CC)CC,"ethane, 1-diethylamino-2-ethylmethylaminoethoxy-",0,pKaH2,2,True,1,,0
perrin1100,Cn1ccc(=N)cc1,"pyridine, 1,4-dihydro-4-imino-1-methyl-",0,pKaH1,1,True,2,,0
perrin1101,Cn1ccccc1=NS(C)(=O)=O,"pyridine, 1,2-dihydro-2-methanesulphonylimino-1-methyl-",0,pKaH1,1,True,2,,0
perrin1102,Cn1ccc(=NS(C)(=O)=O)cc1,"pyridine, 1,4-dihydro-4-methanesulphonylimino-1-methyl-",0,pKaH1,1,True,2,,0
perrin1103,COn1ccccc1=O,"pyridine, 1,2-dihydro-1-methoxy-2-oxo-",0,pKaH1,1,True,1,,0
perrin1104,CON1C=CCCC1=O,"pyridine, 1,4-dihydro-1-methoxy-2-oxo-",0,pKaH1,1,True,2,,0
perrin1105,CN1C=CCCC1=O,"pyridine, 1,4-dihydro-1-methyl-2-oxo-",0,pKaH1,1,True,2,,0
perrin1106,Cn1ccc(=O)cc1,"pyridine, 1,4-dihydro-1-methyl-4-oxo-",0,pKaH1,1,True,1,,0
perrin1107,Cn1ccccc1=S,"pyridine, 1,2-dihydro-1-methyl-2-thio-",0,pKaH1,1,True,1,,0
perrin1108,Cn1ccc(=S)cc1,"pyridine, 1,4-dihydro-1-methyl-4-thio-",0,pKaH1,1,True,1,,0
perrin1109,Oc1ccnc(O)c1,"pyridine, 2,4-dihydroxy-",0,pKa2,-2,True,18,,0
perrin1109,Oc1ccnc(O)c1,"pyridine, 2,4-dihydroxy-",0,pKa1,-1,True,21,,0
perrin1109,Oc1ccnc(O)c1,"pyridine, 2,4-dihydroxy-",0,pKaH1,1,True,12,,0
perrin111,CCN(CC)CCO,"ethane, 1-diethylamino-2-hydroxy-",0,pKaH1,1,True,1,,0
perrin1110,Cc1cccnc1C,"pyridine, 2,3-dimethyl-",0,pKaH1,1,True,2,,0
perrin1111,Cc1ccnc(C)c1,"pyridine, 2,4-dimethyl-",0,pKaH1,1,True,2,,0
perrin1112,Cc1ccc(C)nc1,"pyridine, 2,5-dimethyl-",0,pKaH1,1,True,2,,0
perrin1113,Cc1cccc(C)n1,"pyridine, 2,6-dimethyl-",0,pKaH1,1,True,2,,0
perrin1114,Cc1ccncc1C,"pyridine, 3,4-dimethyl-",0,pKaH1,1,True,1,,0
perrin1115,Cc1cncc(C)c1,"pyridine, 3,5-dimethyl-",0,pKaH1,1,True,1,,0
perrin1116,CN(C)c1ccncc1,"pyridine, 4-dimethylamino-",0,pKaH1,1,True,2,,0
perrin1117,CN(C)CCc1ccccn1,"pyridine, 2-(dimethylaminoethyl)-",0,pKaH1,1,True,4,,0
perrin1117,CN(C)CCc1ccccn1,"pyridine, 2-(dimethylaminoethyl)-",0,pKaH2,2,True,2,,0
perrin1118,CN(C)CCc1cccnc1,"pyridine, 3-(dimethylaminoethyl)-",0,pKaH1,1,True,2,,0
perrin1118,CN(C)CCc1cccnc1,"pyridine, 3-(dimethylaminoethyl)-",0,pKaH2,2,True,1,,0
perrin1119,CCc1cnccc1N(C)C,"pyridine, 4-dimethylamino-3-ethyl-",0,pKaH1,1,True,2,,0
perrin112,CCN(C)C,"ethane, dimethylamino-",0,pKaH1,1,True,1,,0
perrin1120,CN(C)CCc1ccncc1,"pyridine, 4-(dimethylaminoethyl)-",0,pKaH1,1,True,2,,0
perrin1120,CN(C)CCc1ccncc1,"pyridine, 4-(dimethylaminoethyl)-",0,pKaH2,2,True,1,,0
perrin1121,CN(C)CCC(c1ccccc1)c1ccccn1,"pyridine, 2-(α-(2-dimethylaminoethyl)benzyl)-",0,pKaH1,1,True,4,,0
perrin1122,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,"pyridine, 2-((2-dimethylaminoethyl)(p-methoxybenzyl)amino)-",0,pKaH1,1,True,3,,0
perrin1122,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,"pyridine, 2-((2-dimethylaminoethyl)(p-methoxybenzyl)amino)-",0,pKaH2,2,True,3,,0
perrin1123,CN(C)CCN(c1ccccn1)c1cccs1,"pyridine, 2-((2-dimethylaminoethyl)-2-thienylamino)-",0,pKaH1,1,True,3,,0
perrin1123,CN(C)CCN(c1ccccn1)c1cccs1,"pyridine, 2-((2-dimethylaminoethyl)-2-thienylamino)-",0,pKaH2,2,True,4,,0
perrin1124,CN(C)CCN(c1ccsc1)c1ccccn1,"pyridine, 2-((2-dimethylaminoethyl)-3-thienylamino)-",0,pKaH1,1,True,3,,0
perrin1124,CN(C)CCN(c1ccsc1)c1ccccn1,"pyridine, 2-((2-dimethylaminoethyl)-3-thienylamino)-",0,pKaH2,2,True,3,,0
perrin1125,CC(C)c1cnccc1N(C)C,"pyridine, 4-dimethylamino-3-isopropyl-",0,pKaH1,1,True,2,,0
perrin1126,CN(C)Cc1ccccn1,"pyridine, 2-(dimethylaminomethyl)-",0,pKaH1,1,True,2,,0
perrin1126,CN(C)Cc1ccccn1,"pyridine, 2-(dimethylaminomethyl)-",0,pKaH2,2,True,1,,0
perrin1127,CN(C)Cc1cccnc1,"pyridine, 3-(dimethylaminomethyl)-",0,pKaH1,1,True,2,,0
perrin1127,CN(C)Cc1cccnc1,"pyridine, 3-(dimethylaminomethyl)-",0,pKaH2,2,True,1,,0
