reaction_index,reaction_smiles,tabulated_constant,temperature_celsius,solvent,temperature,solvent_part,reactant_smiles,product_smiles,n_reactants,n_products
51,[O:1]1[CH:2]([CH2:18][CH2:20][CH3:21])[CH:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])[C:4](=[O:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH2:19][CH2:22][CH3:23]>>[O:1]1[CH:2]([CH2:18][CH2:20][CH3:21])[C:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])=[C:4]([OH:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH2:19][CH2:22][CH3:23],-1.19,20,methanol,293,1.0,[O:1]1[CH:2]([CH2:18][CH2:20][CH3:21])[CH:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])[C:4](=[O:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH2:19][CH2:22][CH3:23],[O:1]1[CH:2]([CH2:18][CH2:20][CH3:21])[C:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])=[C:4]([OH:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH2:19][CH2:22][CH3:23],1,1
52,[N:1]1([CH3:16])[CH2:2][CH:3]([C:9]([O:13][CH3:15])=[O:14])[C:4](=[O:7])[CH:5]([C:8](=[O:10])[O:11][CH3:12])[CH2:6]1>>[N:1]1([CH3:16])[CH2:2][C:3]([C:9]([O:13][CH3:15])=[O:14])=[C:4]([OH:7])[CH:5]([C:8](=[O:10])[O:11][CH3:12])[CH2:6]1,0.52,20,methanol,293,1.0,[N:1]1([CH3:16])[CH2:2][CH:3]([C:9]([O:13][CH3:15])=[O:14])[C:4](=[O:7])[CH:5]([C:8](=[O:10])[O:11][CH3:12])[CH2:6]1,[N:1]1([CH3:16])[CH2:2][C:3]([C:9]([O:13][CH3:15])=[O:14])=[C:4]([OH:7])[CH:5]([C:8](=[O:10])[O:11][CH3:12])[CH2:6]1,1,1
53,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([CH3:3])=[O:4]>>[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[CH3:3])[OH:4],0.63,25,ethanol,298,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([CH3:3])=[O:4],[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[CH3:3])[OH:4],1,1
54,[C:1]([CH2:2][C:5]([NH:6][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4]>>[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],-0.63,20,ethanol,293,1.0,[C:1]([CH2:2][C:5]([NH:6][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4],[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],1,1
55,[C:1]([CH2:2][C:5]([NH:6][c:8]1[c:9]([CH3:14])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4]>>[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[c:9]([CH3:14])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],0.22,30,ethanol,303,1.0,[C:1]([CH2:2][C:5]([NH:6][c:8]1[c:9]([CH3:14])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4],[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[c:9]([CH3:14])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],1,1
56,[C:1]([CH2:2][C:5]([NH:6][c:8]1[c:9]([Cl:14])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4]>>[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[c:9]([Cl:14])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],0.37,30,ethanol,303,1.0,[C:1]([CH2:2][C:5]([NH:6][c:8]1[c:9]([Cl:14])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4],[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[c:9]([Cl:14])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],1,1
57,[C:1]([CH2:2][C:5]([NH:6][c:8]1[c:9]([O:14][CH3:15])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4]>>[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[c:9]([O:14][CH3:15])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],0.44,30,ethanol,303,1.0,[C:1]([CH2:2][C:5]([NH:6][c:8]1[c:9]([O:14][CH3:15])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4],[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[c:9]([O:14][CH3:15])[cH:10][cH:11][cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],1,1
58,[C:1]([CH2:2][C:5]([NH:6][c:8]1[c:9]([CH3:14])[cH:10][c:11]([CH3:15])[cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4]>>[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[c:9]([CH3:14])[cH:10][c:11]([CH3:15])[cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],0.24,30,ethanol,303,1.0,[C:1]([CH2:2][C:5]([NH:6][c:8]1[c:9]([CH3:14])[cH:10][c:11]([CH3:15])[cH:12][cH:13]1)=[O:7])([CH3:3])=[O:4],[C:1](=[CH:2]\[C:5]([NH:6][c:8]1[c:9]([CH3:14])[cH:10][c:11]([CH3:15])[cH:12][cH:13]1)=[O:7])(\[CH3:3])[OH:4],1,1
59,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:4]>>[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[OH:4],-0.44,25,ethanol,298,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:4],[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[OH:4],1,1
60,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([CH3:15])[cH:13][cH:14]1)=[O:4]>>[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([CH3:15])[cH:13][cH:14]1)[OH:4],-0.54,25,ethanol,298,1.0,[C:1]([CH2:2][C:5]([O:6][CH2:8][CH3:9])=[O:7])([c:3]1[cH:10][cH:11][c:12]([CH3:15])[cH:13][cH:14]1)=[O:4],[C:1](=[CH:2]\[C:5]([O:6][CH2:8][CH3:9])=[O:7])(\[c:3]1[cH:10][cH:11][c:12]([CH3:15])[cH:13][cH:14]1)[OH:4],1,1
