reaction_index,tabulated_constant,temperature,temperature_celsius,solvent,solvent_original,solvent_part,reactant_smiles,product_smiles,reactant_smiles_mapped,product_smiles_mapped,formal_charge,reactant_is_zwitterion,product_is_zwitterion,n_reactants,n_products
24,-0.29,298,25,methanol,methanol,1.0,O=C(CC(=O)c1ccccc1)Nc1ccc([N+](=O)[O-])cc1,O=C(/C=C(/O)c1ccccc1)Nc1ccc([N+](=O)[O-])cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([N+:19](=[O:20])[O-:21])[cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]([N+:19](=[O:20])[O-:21])[cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,0,False,False,1,1
25,-0.68,298,25,methanol,methanol,1.0,Cc1cccc(C(=O)CC(=O)Nc2ccccc2)c1,Cc1cccc(/C(O)=C\C(=O)Nc2ccccc2)c1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][c:15]([CH3:19])[cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][c:15]([CH3:19])[cH:16][cH:17][cH:18]1,0,False,False,1,1
26,-0.88,298,25,methanol,methanol,1.0,Cc1ccc(C(=O)CC(=O)Nc2ccccc2)cc1,Cc1ccc(/C(O)=C\C(=O)Nc2ccccc2)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([CH3:19])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([CH3:19])[cH:17][cH:18]1,0,False,False,1,1
27,-0.3,298,25,methanol,methanol,1.0,O=C(CC(=O)c1cccc(Cl)c1)Nc1ccccc1,O=C(/C=C(/O)c1cccc(Cl)c1)Nc1ccccc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][c:15]([Cl:19])[cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][c:15]([Cl:19])[cH:16][cH:17][cH:18]1,0,False,False,1,1
28,-0.45,298,25,methanol,methanol,1.0,O=C(CC(=O)c1ccc(Cl)cc1)Nc1ccccc1,O=C(/C=C(/O)c1ccc(Cl)cc1)Nc1ccccc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([Cl:19])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([Cl:19])[cH:17][cH:18]1,0,False,False,1,1
29,-0.27,298,25,methanol,methanol,1.0,O=C(CC(=O)c1cccc(Br)c1)Nc1ccccc1,O=C(/C=C(/O)c1cccc(Br)c1)Nc1ccccc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][c:15]([Br:19])[cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][c:15]([Br:19])[cH:16][cH:17][cH:18]1,0,False,False,1,1
30,-0.49,298,25,methanol,methanol,1.0,O=C(CC(=O)c1ccc(Br)cc1)Nc1ccccc1,O=C(/C=C(/O)c1ccc(Br)cc1)Nc1ccccc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([Br:19])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([Br:19])[cH:17][cH:18]1,0,False,False,1,1
31,-0.65,298,25,methanol,methanol,1.0,COc1cccc(C(=O)CC(=O)Nc2ccccc2)c1,COc1cccc(/C(O)=C\C(=O)Nc2ccccc2)c1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][c:15]([O:19][CH3:20])[cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][c:15]([O:19][CH3:20])[cH:16][cH:17][cH:18]1,0,False,False,1,1
32,-1.28,298,25,methanol,methanol,1.0,COc1ccc(C(=O)CC(=O)Nc2ccccc2)cc1,COc1ccc(/C(O)=C\C(=O)Nc2ccccc2)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([O:19][CH3:20])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([O:19][CH3:20])[cH:17][cH:18]1,0,False,False,1,1
33,-0.06,298,25,methanol,methanol,1.0,N#Cc1ccc(C(=O)CC(=O)Nc2ccccc2)cc1,N#Cc1ccc(/C(O)=C\C(=O)Nc2ccccc2)cc1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][cH:15][c:16]([C:19]#[N:20])[cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][cH:15][c:16]([C:19]#[N:20])[cH:17][cH:18]1,0,False,False,1,1
34,0.0,298,25,methanol,methanol,1.0,O=Nc1cccc(C(=O)CC(=O)Nc2ccccc2)c1,O=Nc1cccc(/C(O)=C\C(=O)Nc2ccccc2)c1,[C:1]([CH2:2][C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[c:4]1[cH:14][c:15]([N:19]=[O:20])[cH:16][cH:17][cH:18]1,[C:1](=[CH:2]/[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[c:4]1[cH:14][c:15]([N:19]=[O:20])[cH:16][cH:17][cH:18]1,0,False,False,1,1
